High_sum,Low_sum,Open_sum,Close_sum,Volume_sum,Adj Close_sum,IsWeekend_first,Season_Autumn_first,Season_Spring_first,Season_Summer_first,Season_Winter_first
0.19374999999999987,0.20798158096699915,0.19783616692426587,0.19876256767208056,0.3575839200668453,0.19876256767208056,0,1,0,0,0
0.1929687499999999,0.19953952417498066,0.19397217928902633,0.2010827532869297,0.4050258578131815,0.2010827532869297,0,1,0,0,0
0.19218749999999996,0.21181887950882583,0.19783616692426587,0.20030935808197992,0.24015094508429952,0.20030935808197992,0,1,0,0,0
0.19218749999999996,0.21181887950882583,0.19783616692426587,0.20030935808197992,0.24015094508429952,0.20030935808197992,0,1,0,0,0
0.19218749999999996,0.21028396009209516,0.1970633693972179,0.2018561484918795,0.01870198091458536,0.2018561484918795,0,1,0,0,0
0.19218749999999996,0.21028396009209516,0.1970633693972179,0.2018561484918795,0.01870198091458536,0.2018561484918795,1,1,0,0,0
0.19218749999999996,0.21028396009209516,0.1970633693972179,0.2018561484918795,0.01870198091458536,0.2018561484918795,1,1,0,0,0
0.19218749999999996,0.2072141212586338,0.19860896445131382,0.19412219644238204,0.4673498177890891,0.19412219644238204,0,1,0,0,0
0.19999999999999996,0.20874904067536448,0.19242658423493042,0.21113689095127608,0.37741703052931436,0.21113689095127608,0,0,0,0,1
0.2007812499999999,0.20491174213353802,0.20710973724884085,0.19334880123743248,0.4155239542244014,0.19334880123743248,0,0,0,0,1
0.18593749999999987,0.17805065234075212,0.19088098918083451,0.17014694508894057,0.47237599513039147,0.17014694508894057,0,0,0,0,1
0.19218749999999996,0.18495778971603993,0.168469860896445,0.20262954369682906,0.45774480247570387,0.20262954369682906,0,0,0,0,1
0.19218749999999996,0.18495778971603993,0.168469860896445,0.20262954369682906,0.45774480247570387,0.20262954369682906,1,0,0,0,1
0.19218749999999996,0.18495778971603993,0.168469860896445,0.20262954369682906,0.45774480247570387,0.20262954369682906,1,0,0,0,1
0.18984374999999987,0.19646968534151954,0.19860896445131382,0.1918020108275329,0.4304107693757859,0.1918020108275329,0,0,0,0,1
0.17656249999999996,0.18572524942440527,0.1854714064914993,0.18097447795823673,0.45114015621729836,0.18097447795823673,0,0,0,0,1
0.18203124999999987,0.1734458940905601,0.1761978361669243,0.168600154679041,0.48495901253029533,0.168600154679041,0,0,0,0,1
0.171875,0.1803530314658479,0.1653786707882534,0.17246713070378972,0.37790111563243406,0.17246713070378972,0,0,0,0,1
0.15625,0.15195702225633156,0.1653786707882534,0.14153132250580058,0.4715084762822264,0.14153132250580058,0,0,0,0,1
0.15625,0.15195702225633156,0.1653786707882534,0.14153132250580058,0.4715084762822264,0.14153132250580058,1,0,0,0,1
0.15625,0.15195702225633156,0.1653786707882534,0.14153132250580058,0.4715084762822264,0.14153132250580058,1,0,0,0,1
0.13671875,0.14044512663085174,0.13910355486862436,0.14849187935034802,0.5212558094206476,0.14849187935034802,0,0,0,0,1
0.16093749999999996,0.16500383729854184,0.14837712519319934,0.16550657385924206,0.4798928941738841,0.16550657385924206,0,0,0,0,1
0.17890625000000004,0.17805065234075212,0.16460587326120546,0.18870843000773396,0.5249319804512695,0.18870843000773396,0,0,0,0,1
0.17890625000000004,0.1772831926323868,0.1854714064914993,0.1639597834493427,0.47571506399349445,0.1639597834493427,0,0,0,0,1
0.15078124999999987,0.14965464313123555,0.15996908809891797,0.1361175560711525,0.8520680658803081,0.1361175560711525,0,0,0,0,1
0.15078124999999987,0.14965464313123555,0.15996908809891797,0.1361175560711525,0.8520680658803081,0.1361175560711525,1,0,0,0,1
0.15078124999999987,0.14965464313123555,0.15996908809891797,0.1361175560711525,0.8520680658803081,0.1361175560711525,1,0,0,0,1
0.13671875,0.14965464313123555,0.13678516228748072,0.14849187935034802,0.3851112676798904,0.14849187935034802,0,0,0,0,1
0.15234375,0.16116653875671516,0.14683153013910344,0.16163959783449355,0.3468605563304113,0.16163959783449355,0,0,0,0,1
0.1695312499999999,0.17805065234075212,0.16151468315301387,0.18174787316318652,0.34098603182819615,0.18174787316318652,0,0,0,0,1
0.171875,0.19033000767459707,0.17774343122102,0.1786542923433876,0.009918152871838892,0.1786542923433876,0,0,0,0,1
0.171875,0.19033000767459707,0.17774343122102,0.1786542923433876,0.009918152871838892,0.1786542923433876,0,0,0,0,1
0.171875,0.19033000767459707,0.17774343122102,0.1786542923433876,0.009918152871838892,0.1786542923433876,1,0,0,0,1
0.171875,0.19033000767459707,0.17774343122102,0.1786542923433876,0.009918152871838892,0.1786542923433876,1,0,0,0,1
0.1640625,0.17958557175748258,0.1731066460587325,0.17556071152358865,0.18256718478151468,0.17556071152358865,0,0,0,0,1
0.18281250000000004,0.19186492709132774,0.17542503863987635,0.1925754060324827,0.19047390813247,0.1925754060324827,0,0,0,0,1
0.1796875,0.19263238679969286,0.18856259659969088,0.18097447795823673,0.16258389610223623,0.18097447795823673,0,0,0,0,1
0.16796875,0.17881811204911746,0.17542503863987635,0.16550657385924206,0.20857996910163074,0.16550657385924206,0,0,0,0,1
0.16796875,0.17881811204911746,0.17542503863987635,0.16550657385924206,0.20857996910163074,0.16550657385924206,0,0,0,0,1
0.16796875,0.17881811204911746,0.17542503863987635,0.16550657385924206,0.20857996910163074,0.16550657385924206,1,0,0,0,1
0.16796875,0.17881811204911746,0.17542503863987635,0.16550657385924206,0.20857996910163074,0.16550657385924206,1,0,0,0,1
0.14921874999999996,0.1373752877973906,0.15842349304482228,0.14153132250580058,0.47211877499309024,0.14153132250580058,0,0,0,0,1
